uni_name,Zip,state,status,url,uni_type,ID
Aligarh Muslim University,202001,Uttar Pradesh ,2(f) & 12(B),http://www.amu.ac.in,Central,21
Assam University,788001,Assam ,2(f) & 12(B),http://www.aus.ac.in,Central,2
Babasaheb Bhimrao Ambedkar University,226025,Uttar Pradesh ,2(f) & 12(B),http://www.bbau.ac.in,Central,22
Banaras Hindu University,221005,Uttar Pradesh ,2(f) & 12(B),http://www.bhu.ac.in,Central,23
Central Agricultural University,795004,Manipur,2(f) & 12(B),https://cau.ac.in,Central,16
Central Sanskrit University,110058,Delhi,2(f) & 12(B),http://www.sanskrit.nic.in,Central,62
Central University of Gujarat,382030,Gujarat ,2(f) & 12(B),https://www.cug.ac.in,Central,42
Central University of Haryana,123029,Haryana ,2(f) & 12(B),http://www.cuh.ac.in,Central,39
Central University of Himachal Pradesh,176215,Himachal Pradesh ,2(f) & 12(B),http://www.cuhimachal.ac.in,Central,38
Central University of Jammu,181143,Jammu and Kashmir ,2(f) & 12(B),http://www.cujammu.ac.in,Central,37
Central University of Jharkhand,835222,Jharkhand ,2(f) & 12(B),http://www.cuj.ac.in,Central,35
Central University of Karnataka,585311,Karnataka ,2(f) & 12(B),http://www.cuk.ac.in,Central,34
Central University of Kashmir,191201,Jammu and Kashmir ,2(f) & 12(B),http://www.cukashmir.ac.in,Central,36
Central University of Kerala,671316,Kerala ,2(f) & 12(B),https://www.cukerala.ac.in,Central,33
Central University of Odisha,763004,Odisha,2(f) & 12(B),http://cuo.ac.in,Central,31
Central University of Punjab,151401,Punjab ,2(f) & 12(B),http://www.cup.ac.in,Central,30
Central University of Rajasthan ,305801,Rajasthan,2(f) & 12(B),http://www.curaj.ac.in,Central,29
Central University of South Bihar,824236,Bihar ,2(f) & 12(B),https://www.cusb.ac.in,Central,41
Central University of Tamil Nadu,610005,Tamil Nadu ,2(f) & 12(B),https://cutn.ac.in,Central,27
Dr. Harisingh Gour Vishwavidyalaya,470003,Madhya Pradesh ,2(f) & 12(B),https://dhsgsu.edu.in,Central,32
Dr. Rajendra Prasad Central Agricultural University,848125,Bihar ,2(f) & 12(B),https://www.rpcau.ac.in,Central,1211
English & Foreign Languages University,500007,Telangana,2(f) & 12(B),https://www.efluniversity.ac.in,Central,6
Gati Shakti Vishwavidyalaya,390004,Gujarat ,2(f) & 12(B),https://gsv.ac.in,Central,1199
Guru Ghasidas Vishwavidyalaya,495009,Chhattisgarh,2(f) & 12(B),http://www.ggu.ac.in,Central,40
Hemvati Nandan Bahuguna Garhwal University,246174,Uttarakhand ,2(f) & 12(B),http://www.hnbgu.ac.in,Central,26
Indian Maritime University,600119,Tamil Nadu ,2(f) & 12(B),https://www.imu.edu.in,Central,28
Indira Gandhi National Open University,110068,Delhi,2(f) & 12(B),http://www.ignou.ac.in,Central,10
Jamia Millia Islamia,110025,Delhi,2(f) & 12(B),http://www.jmi.nic.in,Central,7
Jawaharlal Nehru University,110067,Delhi,2(f) & 12(B),http://www.jnu.ac.in,Central,9
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,442001,Maharashtra ,2(f) & 12(B),https://hindivishwa.org,Central,12
Mahatma Gandhi Central University,845401,Bihar ,2(f) & 12(B),http://www.mgcub.ac.in,Central,785
Manipur University,795003,Manipur,2(f) & 12(B),https://www.manipuruniv.ac.in,Central,15
Maulana Azad National Urdu University,500032,Telangana,2(f) & 12(B),https://manuu.edu.in,Central,5
Mizoram University,796009,Mizoram ,2(f) & 12(B),https://mzu.edu.in,Central,13
Nagaland University,798627,Nagaland ,2(f) & 12(B),https://nagalanduniversity.ac.in,Central,751
Nalanda University,803116,Bihar ,2(f) & 12(B),https://nalandauniv.edu.in,Central,705
National Sanskrit University( previously Rashtriya Sanskrit Vidyapeeth),517507,Andhra Pradesh,2(f) & 12(B),http://nsktu.ac.in,Central,46
