uni_name,url,state
Indian Institute of Technology Madras,http://www.iitm.ac.in,Tamil Nadu
Indian Institute of Technology Delhi,http://www.iitd.ac.in,Delhi
Indian Institute of Technology Guwahati,http://www.iitg.ac.in,Assam
Indian Institute of Technology Kanpur,http://www.iitk.ac.in,Uttar Pradesh
Indian Institute of Technology Kharagpur,http://www.iitkgp.ac.in,West Bengal
Indian Institute of Technology Bombay,http://www.iitb.ac.in,Maharashtra
Indian Institute of Technology Roorkee,http://www.iitr.ac.in,Uttarakhand
Indian Institute of Technology Varanasi (BHU),http://www.iitbhu.ac.in,Uttar Pradesh
Indian Institute of Technology Hyderabad,http://www.iith.ac.in,Telangana
Indian Institute of Technology Indore,http://www.iiti.ac.in,Madhya Pradesh
Indian Institute of Technology Ropar,http://www.iitrpr.ac.in,Punjab
Indian Institute of Technology Jodhpur,http://www.iitj.ac.in,Rajasthan
Indian Institute of Technology Bhubaneswar,http://www.iitbbs.ac.in,Odisha
Indian Institute of Technology Gandhinagar,http://www.iitgn.ac.in,Gujarat
Indian Institute of Technology Palakkad,http://www.iitpkd.ac.in,Kerala
Indian Institute of Technology Mandi,http://www.iitmandi.ac.in,Himachal Pradesh
Indian Institute of Technology Tirupati,http://www.iittp.ac.in,Andhra Pradesh
Indian Institute of Technology Bhilai,http://www.iitbhilai.ac.in,Chhattisgarh
Indian Institute of Technology Jammu,http://www.iitjammu.ac.in,Jammu and Kashmir
