uni_name,Zip,state,status,url,uni_type,ID
"""Kaushalya"" the Skill University",380052,Gujarat,2(f),https://kaushalyaskilluniversity.ac.in,State,1237
A.P.J. Abdul Kalam Technological University,695016,Kerala,2(f),https://ktu.edu.in,State,814
Acharaya N.G.Ranga Agricultural University,522034,Andhra Pradesh,2(f),https://angrau.ac.in,State,185
Acharya Nagarjuna University,522510,Andhra Pradesh,2(f) & 12(B),https://nagarjunauniversity.ac.in,State,186
Acharya Narendra Deva Krishi Evam Prodyogik Vishwavidyalaya,224229,Uttar Pradesh,2(f) & 12(B),https://www.nduat.org,State,333
Adikavi Nannaya University,533296,Andhra Pradesh,2(f) & 12(B),http://www.nannayauniversity.info,State,187
Agriculture University,342304,Rajasthan,2(f),https://www.aujodhpur.ac.in,State,1163
Alagappa University,630003,Tamil Nadu,2(f) & 12(B),https://www.alagappauniversity.ac.in,State,188
Aliah University,700160,West Bengal,2(f) & 12(B),http://www.aliah.ac.in,State,189
Anand Agricultural University,388001,Gujarat,2(f),http://www.aau.in,State,190
Andhra Kesari University,523225,Andhra Pradesh,2(f),http://andhrakesariuniversity.in,State,1156
Andhra Pradesh Fisheries University,521134,Andhra Pradesh,2(f),https://apfu.ap.gov.in,State,1216
Andhra University,530003,Andhra Pradesh,2(f) & 12(B),https://www.andhrauniversity.edu.in,State,192
Anna University,600025,Tamil Nadu,2(f) & 12(B),http://www.annauniv.edu,State,193
Annamalai University,608002,Tamil Nadu,2(f) & 12(B),http://www.annamalaiuniversity.ac.in,State,197
Aryabhatta Knowledge University,800001,Bihar,2(f),http://akubihar.ac.in,State,497
Assam Agricultural University,785013,Assam,2(f) & 12(B),http://www.aau.ac.in,State,198
Assam Rajiv Gandhi University of Co-operative Management,785665,Assam,2(f),https://www.argucom.ac.in,State,655
Assam Science & Technology University,781013,Assam,2(f),http://www.astu.org.in,State,672
Assam Skill University,784125,Assam,2(f),https://asu.ac.in,State,1319
Assam Women's University,785004,Assam,2(f),https://awu.ac.in,State,765
Atal Bihari Bajpayee Vishwavidyalaya (Formerly Bilaspur Vishwavidyalaya),495009,Chhattisgarh,2(f) & 12(B),https://www.bilaspuruniversity.ac.in,State,665
Atal Bihari Vajpayee Hindi Vishwavidyalaya,462038,Madhya Pradesh,2(f),http://www.abvhv.edu.in,State,667
Atal Bihari Vajpayee Medical University,226210,Uttar Pradesh,2(f),https://abvmuup.edu.in,State,1280
Atal Medical and Research University(Formerly Himachal Pradesh University of Health Sciences),175008,Himachal Pradesh,2(f),https://amruhp.ac.in,State,1068
Awadesh Pratap Singh University,486003,Madhya Pradesh,2(f) & 12(B),http://www.apsurewa.nic.in,State,199
Ayush and Health Sciences University of Chhattisgarh,493661,Chhattisgarh,2(f),http://www.cghealthuniv.com,State,557
Baba Amte Divyang University,303017,Rajasthan,2(f),https://amtedivyanguniversity.ac.in,State,1292
Baba Farid University of Health Sciences,151203,Punjab,2(f) & 12(B),http://www.bfuhs.ac.in,State,200
Baba Ghulam Shah Badshah University,185234,Jammu and Kashmir,2(f) & 12(B),https://bgsbu.ac.in,State,201
Babasaheb Bhimrao Ambedkar Bihar University ,842001,Bihar,2(f) & 12(B),http://www.brabu.net,State,202
Bagalkot University,587301,Karnataka,2(f),https://www.bgku.ac.in,State,1226
Banda University of Agriculture & Technology,210001,Uttar Pradesh,2(f),http://buat.edu.in,State,890
Bangalore University,560056,Karnataka,2(f) & 12(B),https://eng.bangaloreuniversity.ac.in,State,203
Bankura University,722155,West Bengal,2(f) & 12(B),https://bankurauniv.ac.in,State,804
Barkatullaah University,462026,Madhya Pradesh,2(f) & 12(B),http://www.bubhopal.nic.in,State,204
Bengaluru City University,560064,Karnataka,2(f),https://bcu.ac.in,State,914
Bengaluru Dr. B. R. Ambedkar School of Economics University,560072,Karnataka,2(f),https://base.ac.in,State,1041
Bengaluru North University,563103,Karnataka,2(f),https://eng.bnu.ac.in,State,911
Berhampur University,760007,Odisha,2(f) & 12(B),https://www.buodisha.edu.in,State,206
Bhagat Phool Singh Mahila Vishwavidyalaya,131305,Haryana,2(f) & 12(B),http://bpsmv.digitaluniversity.ac,State,207
Bhakta Kavi Narsinh Mehta University,362640,Gujarat,2(f) & 12(B),https://www.bknmu.edu.in,State,846
Bharathiar University,641046,Tamil Nadu,2(f) & 12(B),http://www.b-u.ac.in,State,208
Bharathidasan University,620024,Tamil Nadu,2(f) & 12(B),https://www.bdu.ac.in,State,209
Bhatkhande Sanskriti Vishwavidyalaya,226001,Uttar Pradesh,2(f),http://bhatkhandemusic.edu.in,State,159
Bhattadev University,781325,Assam,2(f),http://www.bhattadevuniversity.ac.in,State,1025
Bhupendra Narayan Mandal University,852113,Bihar,2(f) & 12(B),http://bnmu.bih.nic.in,State,211
Bidhan Chandra Krishi Vishwavidyalaya,741252,West Bengal,2(f) & 12(B),http://www.bckv.edu.in,State,212
Bihar Agricultural University,813210,Bihar,2(f),http://bausabour.ac.in,State,682
Bihar Animal Sciences University,800014,Bihar,2(f),https://www.basu.org.in,State,993
Bihar Engineering University,800001,Bihar,2(f),http://beu-bih.ac.in/BEUP/Default.aspx,State,1245
Bihar Sports University,803116,Bihar,2(f),https://biharsports.org,State,1336
Bihar University of Health Sciences,800001,Bihar,2(f),http://buhs.ac.in,State,1205
Biju Patnaik University of Technology,769015,Odisha,2(f),https://www.bput.ac.in,State,213
Bikaner Technical University,334004,Rajasthan,2(f),https://btu.ac.in,State,1005
Binod Bihari Mahto Koyalanchal University,828130,Jharkhand,2(f),https://bbmku.ac.in,State,951
Birangana Sati Sadhani Rajyik Vishwavidyalaya,785621,Assam,2(f),http://bssrv.ac.in,State,1162
Birsa Agricultural University,834006,Jharkhand,2(f) & 12(B),http://www.baujharkhand.org,State,214
Birsa Munda Tribal University,393145,Gujarat,2(f),https://comm-tribal.gujarat.gov.in,State,981
Biswa Bangla Biswabidyalay,731204,West Bengal,2(f),https://www.biswabanglabiswabidyalay.org,State,1183
Bodoland University,783370,Assam,2(f) & 12(B),https://buniv.edu.in,State,654
Bundelkhand University,284128,Uttar Pradesh,2(f) & 12(B),https://www.bujhansi.ac.in,State,215
Burdwan University,713104,West Bengal,2(f) & 12(B),https://www.buruniv.ac.in,State,216
Calcutta University,700073,West Bengal,2(f) & 12(B),http://www.caluniv.ac.in,State,217
Calicut University ,673635 ,Kerala,2(f) & 12(B),http://www.uoc.ac.in,State,218
Captain Williamson Sangma State University,794105,Meghalaya,2(f),https://Null,State,1329
Chanakya National Law University,800001,Bihar,2(f) & 12(B),http://www.cnlu.ac.in,State,220
Chandra Shekhar Azad University of Agriculture & Technology,208002,Uttar Pradesh,2(f) & 12(B),http://www.csauk.ac.in,State,221
Chaudhary Bansi Lal University,127021,Haryana,2(f) & 12(B),https://cblu.ac.in,State,810
Chaudhary Charan Singh University,200005,Uttar Pradesh,2(f) & 12(B),https://www.ccsuniversity.ac.in,State,226
Chaudhary Devi Lal University,125055,Haryana,2(f) & 12(B),http://cdlu.digitaluniversity.ac,State,223
Chaudhary Ranbir Singh University,126102,Haryana,2(f) & 12(B),http://www.crsujind.org,State,753
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,176062,Himachal Pradesh,2(f) & 12(B),http://hillagric.ac.in:1003/cskhpau,State,264
Chhatrapati Shahu Ji Maharaj University,208024,Uttar Pradesh,2(f) & 12(B),http://csjmu.ac.in,State,222
Chhattisgarh Kamdhenu Vishwavidyalaya,491001,Chhattisgarh,2(f),http://cgkv.ac.in,State,708
Chhattisgarh Swami Vivekanad Technical Universty,490009,Chhattisgarh,2(f) & 12(B),http://www.csvtu.ac.in,State,224
Children's University,382021,Gujarat,2(f),https://www.cugujarat.ac.in,State,675
Choudhary Charan Singh Haryana Agricultural Univeersity,125004,Haryana,2(f) & 12(B),http://www.hau.ac.in,State,225
Cluster University,518007,Andhra Pradesh,2(f),https://www.cuklap.ac.in,State,1135
Cluster University of Jammu,180016,Jammu and Kashmir,2(f),https://clujammu.ac.in,State,888
Cluster University of Srinagar,190008,Jammu and Kashmir,2(f),https://www.cusrinagar.edu.in,State,934
Cochin Unviersity of Science & Technology,682022,Kerala,2(f) & 12(B),https://www.cusat.ac.in,State,227
COEP Technological University,411005,Maharashtra,2(f),https://www.coeptech.ac.in,State,1204
Cooch Behar Panchanan Barma University,736101,West Bengal,2(f),http://cbpbu.ac.in,State,778
Cotton University,781001,Assam,2(f) & 12(B),https://cottonuniversity.ac.in,State,709
Dada Lakhmi Chand State University of Performing and Visual Arts (SUPVA),124001,Haryana,2(f),https://dlcsupva.ac.in,State,771
Damodaram Sanjivayya National Law University,531035,Andhra Pradesh,2(f) & 12(B),http://dsnlu.ac.in,State,555
Davangere University,577007,Karnataka,2(f) & 12(B),http://www.davangereuniversity.ac.in,State,228
Deen Bandhu Chhotu Ram University of Sciences & Technology,131039,Haryana,2(f) & 12(B),http://www.dcrusm.ac.in,State,229
Deen Dayal Upadhyay Gorakhpur University,273009,Uttar Pradesh,2(f) & 12(B),http://www.ddugu.edu.in,State,230
Delhi Pharmaceutical Sciences & Research University,110017,Delhi,2(f),https://dpsru.edu.in,State,813
Delhi Skill and Entrepreneurship University,110007,Delhi,2(f),https://dseu.ac.in,State,1088
Delhi Technological University,110042,Delhi,2(f) & 12(B),http://www.dtu.ac.in,State,485
Devi Ahilya Vishwavidyalaya,452 001,Madhya Pradesh,2(f) & 12(B),http://www.dauniv.ac.in,State,231
Dhanamanjuri University,795001,Manipur,2(f),https://www.dmu.ac.in,State,986
Dharmashastra National Law University,482001,Madhya Pradesh,2(f),https://www.mpdnlu.ac.in,State,973
Dharmsinh Desai University,387001,Gujarat,2(f) & 12(B),https://www.ddu.ac.in,State,232
Diamond Harbour Women's University,743368,West Bengal,2(f) & 12(B),http://www.dhwu.ac.in,State,797
Dibrugarh University,786004,Assam,2(f) & 12(B),http://www.dibru.ac.in,State,233
Doon University,248001,Uttarakhand,2(f) & 12(B),http://www.gov.ua.nic.in/doonuniversity,State,234
Dr Y. S. R. Architecture & Fine Arts University,516162,Andhra Pradesh,2(f),https://www.ysrafu.ac.in,State,1103
Dr. A.P.J. Abdul Kalam Technical University,226031,Uttar Pradesh,2(f) & 12(B),https://aktu.ac.in,State,415
Dr. Abdul Haq Urdu University,518002,Andhra Pradesh,2(f),https://ahuuk.ac.in,State,1008
Dr. B. R. Ambedkar University,532410,Andhra Pradesh,2(f) & 12(B),http://www.brau.edu.in,State,235
Dr. B. R. Ambedkar University of Social Sciences,453441,Madhya Pradesh,2(f) & 12(B),https://brauss.in,State,829
Dr. B.R. Ambedkar National Law University,131029,Haryana,2(f),http://dbranlu.ac.in,State,1016
Dr. B.R. Ambedkar University,282 004,Uttar Pradesh,2(f) & 12(B),https://dbrau.ac.in,State,237
Dr. B.R. Ambedkar University,110006,Delhi,2(f) & 12(B),http://www.aud.ac.in,State,486
Dr. B.R.Ambedkar Open University,500033,Telangana,2(f) & 12(B),https://www.braou.ac.in,State,236
Dr. Babasaheb Ambedkar Marathwada University,431004,Maharashtra,2(f) & 12(B),http://www.bamu.net,State,238
Dr. Babasaheb Ambedkar Open University,382481,Gujarat,2(f) & 12(B),http://www.baou.edu.in,State,239
Dr. Babasaheb AmbedkarTechnological University,402103,Maharashtra,2(f) & 12(B),http://www.dbatu.ac.in,State,240
Dr. Bhimrao Ambedkar Law University,302015,Rajasthan,2(f),https://www.alujaipur.ac.in,State,1056
Dr. Homi Bhabha State University,400032,Maharashtra,2(f),https://www.hbsu.ac.in,State,1040
Dr. N.T.R. University of Health Sciences,520008,Andhra Pradesh,2(f),https://drntruhs.in,State,191
Dr. Punjabrao Deshmukh Krishi Vidyapeeth,444104,Maharashtra,2(f) & 12(B),http://www.pdkv.mah.nic.in,State,241
Dr. Rajendra Prasad National Law University,211013,Uttar Pradesh,2(f),https://www.rpnlup.ac.in,State,1322
Dr. Ram Manohar Lohia Awadh University,224001,Uttar Pradesh,2(f) & 12(B),http://www.rmlau.ac.in,State,242
Dr. Ram Manohar Lohia Institute of Medical Sciences,226010,Uttar Pradesh,2(f),https://www.drrmlims.ac.in,State,1021
Dr. Shakuntala Misra National Rehabilitation University,226017,Uttar Pradesh,2(f) & 12(B),https://dsmru.up.nic.in,State,244
Dr. Y.S.Parmar University of Horticulture & Forestry ,173230,Himachal Pradesh,2(f) & 12(B),http://www.yspuniversity.ac.in,State,245
Dr. Y.S.R. Horticultural University,534101,Andhra Pradesh,2(f),https://drysrhu.ap.gov.in,State,652
Dravidian University,517426,Andhra Pradesh,2(f) & 12(B),http://www.dravidianuniversity.ac.in,State,246
Fakir Mohan University,756020,Odisha,2(f) & 12(B),https://fmuniversity.nic.in,State,247
G.B.Pant University of Agriculture & Technology,263145,Uttarakhand,2(f) & 12(B),http://www.gbpuat.ac.in,State,248
Gangadhar Meher University,768004,Odisha,2(f) & 12(B),http://www.gmuniversity.ac.in,State,854
Gauhati University,781014,Assam,2(f) & 12(B),http://www.gauhati.ac.in,State,249
Gautam Buddha University,201 308,Uttar Pradesh,2(f) & 12(B),https://www.gbu.ac.in,State,251
Goa University,403206,Goa,2(f) & 12(B),http://www.unigoa.ac.in,State,252
Gondwana University,422 605,Maharashtra,2(f) & 12(B),"https://www.gondwana.digitaluniversity.org, www.gondwanauniversity.org",State,657
Govind Guru Tribal University,327001,Rajasthan,2(f),https://www.ggtu.ac.in,State,848
Gujarat Ayurveda University,361008,Gujarat,2(f) & 12(B),http://www.ayurveduniversity.edu.in,State,254
Gujarat Biotechnology University,382011,Gujarat,2(f),https://gbu.gujarat.gov.in/Announcements.php,State,1042
Gujarat National Law University,382426,Gujarat,2(f) & 12(B),http://www.gnlu.ac.in,State,255
Gujarat Technological University,382424,Gujarat,2(f) & 12(B),http://www.gtu.ac.in,State,256
Gujarat University,380 009,Gujarat,2(f) & 12(B),https://www.gujaratuniversity.ac.in,State,257
Gujarat University of Transplantation Sciences,380016,Gujarat,2(f),http://www.guts.education,State,817
Gulbarga University,585106,Karnataka,2(f) & 12(B),https://gug.ac.in,State,258
Guru Angad Dev Veterinary & Animal Sciences University,141004,Punjab,2(f) & 12(B),http://www.gadvasu.in,State,259
