uni_name,state,status,uni_type,url
Kaushalya the Skill University,Gujarat,2(f),State,https://kaushalyaskilluniversity.ac.in
A.K.S. University,Madhya Pradesh,2(f),Private,https://www.aksuniversity.ac.in
A.P.G. (Alakh Prakash Goyal) Shimla University,Himachal Pradesh,2(f),Private,https://agu.edu.in
A.P.J. Abdul Kalam Technological University,Kerala,2(f),State,https://ktu.edu.in
AAFT University of Media and Arts,Chhattisgarh,2(f),Private,https://aaft.edu.in
Abhilashi University,Himachal Pradesh,2(f),Private,https://www.abhilashiuniversity.com
Abhyuday University,Madhya Pradesh,2(f),Private,https://abhyudayuniversity.com
Academy of Maritime Education and Training,Tamil Nadu,Section-III,Deemed to be Universities,https://www.ametuniv.ac.in
Acharaya N.G.Ranga Agricultural University,Andhra Pradesh,2(f),State,https://angrau.ac.in
Acharya Nagarjuna University,Andhra Pradesh,2(f) & 12(B),State,https://nagarjunauniversity.ac.in
Acharya Narendra Deva Krishi Evam Prodyogik Vishwavidyalaya,Uttar Pradesh,2(f) & 12(B),State,https://www.nduat.org
Adamas University,West Bengal,2(f),Private,https://adamasuniversity.ac.in
Adani University,Gujarat,2(f),Private,https://www.adaniuni.ac.in
Adesh University,Punjab,2(f),Private,https://adeshuniversity.ac.in
Adichunchanagiri University,Karnataka,2(f),Private,https://www.acu.edu.in
Adikavi Nannaya University,Andhra Pradesh,2(f) & 12(B),State,https://www.nannayauniversity.info
Agrawan Heritage University,Uttar Pradesh,2(f),Private,https://www.ahu.ac.in
Agriculture University,Rajasthan,2(f),State,https://www.aujodhpur.ac.in
Ahmedabad University,Gujarat,2(f) & 12(B),Private,https://www.ahduni.edu.in
AIPH University,Odisha,2(f),Private,https://aiph.ac.in
AISECT University,Jharkhand,2(f),Private,https://www.aisectuniversityjharkhand.ac.in
Ajeenkya D.Y. Patil University,Maharashtra,2(f),Private,https://adypu.edu.in
Akal University,Punjab,2(f),Private,https://www.auts.ac.in
Al-Falah University,Haryana,2(f),Private,https://alfalahuniversity.edu.in
Al-Karim University,Bihar,2(f),Private,https://www.alkarimuniversity.edu.in
Alagappa University,Tamil Nadu,2(f) & 12(B),State,https://www.alagappauniversity.ac.in
Alard University,Maharashtra,2(f),Private,https://alarduniversity.edu.in
Aliah University,West Bengal,2(f) & 12(B),State,https://www.aliah.ac.in
Aligarh Muslim University,Uttar Pradesh,2(f) & 12(B),Central,https://www.amu.ac.in
Alliance University,Karnataka,2(f),Private,https://www.alliance.edu.in
Amaltas University,Madhya Pradesh,2(f),Private,https://amaltasuniversity.in
Amity University,Karnataka,2(f),Private,https://amity.edu/Bengaluru
Amity University,Punjab,2(f),Private,https://www.amity.edu/mohali
Amity University,Bihar,2(f),Private,https://amity.edu/bihar/amity-patna.aspx
Amity University,Maharashtra,2(f),Private,https://www.amity.edu/mumbai
Amity University,Chhattisgarh,2(f),Private,https://amity.edu/raipur
Amity University,West Bengal,2(f),Private,https://amity.edu/kolkata
Amity University,Jharkhand,2(f),Private,https://www.amity.edu/ranchi
Amity University,Rajasthan,2(f),Private,https://amity.edu/jaipur
AMITY University,Uttar Pradesh,2(f),Private,https://amity.edu
AMITY University,Haryana,2(f),Private,https://www.amity.edu/gurugram
Amity University,Madhya Pradesh,2(f),Private,https://www.amity.edu
Amrapali University,Uttarakhand,2(f),Private,https://amrapali.ac.in
Amrita Vishwa Vidyapeetham,Tamil Nadu,Section-III,Deemed to be Universities,https://www.amrita.edu
Anand Agricultural University,Gujarat,2(f),State,https://www.aau.in
Anant National University,Gujarat,2(f),Private,https://www.anu.edu.in
Andhra Kesari University,Andhra Pradesh,2(f),State,https://andhrakesariuniversity.in
Andhra Pradesh Fisheries University,Andhra Pradesh,2(f),State,https://apfu.ap.gov.in
Andhra University,Andhra Pradesh,2(f) & 12(B),State,https://www.andhrauniversity.edu.in
